,Unnamed: 0,tmdbId,title,genres,clean_overview
213,213,187017,22 Jump Street,Action|Comedy|Crime,making way high school twice big change store officer schmidt jenko go deep undercover local college jenko meet kindred spirit football team schmidt infiltrates bohemian art major scene begin question partnership crack case figure mature relationship two overgrown adolescent grow freshman real men college might best thing ever happened
214,214,353070,Going in Style,Comedy,desperate pay bill come loved one three lifelong pal risk embarking daring bid knock bank absconded money
217,217,210860,Mortdecai,Adventure|Comedy|Mystery|Romance,art dealer charles mortdecai search stolen painting rumored contain secret code gain access hidden nazi gold
228,228,251516,Kung Fury,Action|Comedy|Fantasy|Sci-Fi,unfortunate series event friend kung fury assassinated dangerous kung fu master criminal time adolf hitler kung kung fury decides travel back time nazi germany order kill hitler end nazi empire
230,230,122081,Spring Breakers,Comedy|Crime|Drama,four college girl rob restaurant fund spring break florida get entangled weird dude criminal agenda
233,233,399170,Logan Lucky,Comedy,trying reverse family curse brother jimmy clyde logan set execute elaborate robbery legendary 600 race charlotte motor speedway
244,244,322240,Nine Lives,Comedy,stuffy businessman find trapped inside body family cat
245,245,290762,Miss You Already,Comedy|Drama|Romance,friendship two girlfriend put test one start family fall ill
266,266,100042,Dumb and Dumber To,Comedy,20 year since first adventure lloyd harry go road trip find harry newly discovered daughter given adoption
267,267,265195,Wild Tales,Comedy|Drama|Thriller,injustice demand world cause stress many people however explode includes waitress serving grouchy loan shark altercation two motorist wedding reception wealthy businessman try buy family trouble
271,271,445571,Game Night,Action|Comedy|Crime|Horror,max annie weekly game night get kicked notch max brother brook arranges murder mystery party complete fake thug federal agent brook get kidnapped supposed part game competitor set solve case start learn neither game brook seem friend soon find head twist lead another unexpected turn course one chaotic night
272,272,315664,Florence Foster Jenkins,Comedy|Drama,story florence foster jenkins new york heiress dreamed becoming opera singer despite terrible singing voice
273,273,238713,Spy,Action|Comedy|Crime,cia analyst volunteer go undercover infiltrate world deadly arm dealer prevent diabolical global disaster
286,286,228161,Home,Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi,earth taken boov alien race search new place call home human promptly relocated boov get busy reorganizing planet one resourceful girl tip manages avoid capture find accidental accomplice banished boov named oh two fugitive realize lot stake intergalactic relation embark road trip lifetime
288,288,213121,Toy Story of Terror!,Animation|Children|Comedy,start fun road trip toy story gang take unexpected turn worse trip detour roadside motel one toy go missing others find caught mysterious sequence event must solved suffer fate toy story terror
300,300,252822,In Order of Disappearance,Action|Comedy|Crime|Thriller,upstanding community leader nil award citizen year learns news son died heroin overdose suspecting foul play nil begin investigate soon find center escalating underworld gang war serbian drug dealer sociopathic criminal mastermind known count
302,302,177494,Veronica Mars,Comedy|Crime|Drama,year walking away past teenage private eye veronica mar get pulled back hometown time high school reunion order help old flame logan echolls embroiled murder mystery
316,316,573910,"Ray Romano: Right Here, Around the Corner",Comedy,ray romano cut teeth comedy cellar new york first comedy special 23 year return began
329,329,218836,Planes: Fire & Rescue,Adventure|Animation|Comedy,air racer dusty learns engine damaged may never race must shift gear launched world aerial firefighting dusty join force veteran fire rescue helicopter blade ranger team bunch vehicle known smokejumpers together fearless team battle massive wildfire dusty learns take become true hero
342,342,429197,Vice,Comedy|Drama,george bush pick dick cheney ceo halliburton republican running mate 2000 presidential election stranger politics cheney impressive includes stint white house chief staff house minority whip defense secretary bush win narrow margin cheney begin use newfound power help reshape country world
344,344,112205,The Family,Action|Comedy|Crime,ratting mafia cohort giovanni manzoni family enter witness protection program relocate sleepy town france despite best effort handler keep line giovanni called fred blake wife child ca help resort thing family way however dependence old habit place everyone danger vengeful mobster
352,352,584962,Between Two Ferns: The Movie,Comedy,galifianakis dreamed becoming star ferrell discovered public access tv show two fern uploaded funny die zach became viral laughing stock zach crew taking road trip complete series celebrity interview restore reputation
354,354,121986,Frances Ha,Comedy|Drama,aspiring dancer move new york city becomes caught whirlwind flighty friend diminishing fortune career setback
360,360,262551,Babysitting,Comedy,looking night marc schaudel entrusts son remy care employee franck straight man thing marc know franck getting 30 year old weekend son remy capricious child next day marc wife claire awakened call police remy franck missing house totally devastated police find camera leftover marc claire police start watching video recorded day night find happened franck remy
370,370,437586,mid90s,Comedy|Drama,1990s los angeles spends summer navigating troubled home life crew new friend meet skate shop
375,375,140420,Paperman,Animation|Comedy|Romance,urban office worker find paper airplane instrumental meeting girl way never expected
391,391,454033,Swinging Safari,Comedy|Drama,1975 blue whale get washed local beach kid think biggest thing ever happened australia behind closed door mum dad quiet suburban street going celebrate special way joining sexual revolution throwing key party like rotting whale go spectacularly wrong
400,400,490132,Green Book,Comedy|Drama,tony lip bouncer 1962 hired drive pianist shirley tour deep south day african american forced find alternate accommodation service due segregation law line relied guide called negro motorist green book
401,401,136795,The Heat,Action|Comedy|Crime,uptight fbi special agent sarah ashburn methodical investigator reputation excellence shannon mullins one boston finest short fuse us gut instinct street smart catch elusive criminal neither ever partner friend matter two wildly incompatible law officer join force bring ruthless drug lord become last thing anyone expected buddy
403,403,466272,Once Upon a Time... in Hollywood,Comedy|Drama,los angeles tv star rick dalton struggling actor specializing western stuntman cliff booth best friend try survive constantly changing movie industry dalton neighbor young promising actress model sharon tate married prestigious polish director roman
406,406,279641,Whiskey Tango Foxtrot,Comedy|War,2002 cable news producer kim barker decides shake routine taking daring new assignment kabul afghanistan dislodged comfortable american lifestyle barker find middle war zone luckily meet tanya vanderpoel fellow journalist take reporter wing amid militant warlord nighttime partying barker discovers key becoming successful correspondent
409,409,211672,Minions,Adventure|Animation|Children|Comedy,minion stuart kevin bob recruited scarlet overkill alongside inventor husband herb hatch plot take world
411,411,257091,Get Hard,Comedy|Crime,obscenely rich manager james convicted fraud sentenced stretch san quentin judge give one month get affair order knowing wo survive minute prison james desperately turn darnell black businessman never even parking ticket help darnell put james wringer learn wrong many thing including
412,412,277834,Moana,Adventure|Animation|Children|Comedy|Fantasy,ancient polynesia terrible curse incurred maui reach impetuous chieftain daughter island answer ocean call seek demigod set thing right
418,418,257344,Pixels,Action|Comedy|Sci-Fi,video game expert recruited military fight video game character attacked new york
422,422,313369,La La Land,Comedy|Drama|Romance,mia aspiring actress serf latte movie star audition sebastian jazz musician scrape playing cocktail party gig dingy bar success mount faced decision begin fray fragile fabric love affair dream worked hard maintain threaten rip apart
424,424,308531,Teenage Mutant Ninja Turtles: Out of the Shadows,Action|Adventure|Comedy,supervillain shredder escape custody join force mad scientist baxter stockman two dimwitted henchman bebop rocksteady unleash diabolical plan take world turtle prepare take shredder new crew find facing even greater evil similar intention notorious krang
436,436,193610,The Other Woman,Comedy|Romance,discovering boyfriend married carly soon meet wife cheating yet another affair discovered three woman team plot mutual revenge sob
444,444,382591,Two Is a Family,Comedy|Drama,man without attachment responsibility suddenly find abandoned baby leaf london try find mother eight year later daughter become inseparable gloria mother reappears
450,450,420814,Christopher Robin,Adventure|Animation|Comedy,christopher robin boy countless adventure hundred acre wood grown lost way spirited loveable stuffed animal winnie pooh tigger piglet rest gang rekindle friendship remind endless day childlike wonder nothing best something
453,453,324849,The Lego Batman Movie,Action|Animation|Comedy,bruce wayne must deal usual suspect plan rule gotham city discovering accidentally adopted teenage orphan wish become sidekick
456,456,308024,The Overnight,Comedy,alex emily son rj new los angeles chance meeting park introduces mysterious kurt charlotte max family playdate becomes increasingly interesting night go
488,488,342521,Keanu,Comedy,friend hatch plot retrieve stolen cat posing drug dealer street gang
494,494,325133,Neighbors 2: Sorority Rising,Comedy,sorority move next door home mac kelly radner young child radner enlist former nemesis fraternity help battle raucous sister
495,495,491418,Instant Family,Comedy,pete ellie decide start family stumble world foster care adoption hope take one small child meet three sibling including rebellious 15 year old girl find speeding zero three kid overnight
506,506,284537,Welcome to Me,Comedy|Drama,year life alice klieg woman borderline personality disorder win mega million lottery quits med buy talk show
526,526,470932,"I Love You, Daddy",Comedy|Drama,successful television writer daughter becomes interest aging filmmaker appalling past becomes worried handle situation
533,533,224141,Into the Woods,Children|Comedy|Fantasy|Musical,wood filled magic fairy tale character baker wife set end curse put neighbor spiteful witch
574,574,274479,Joy,Comedy|Drama,story based life struggling long island single mom became one country successful entrepreneur
597,597,339397,Café Society,Comedy|Drama|Romance,story young man arrives hollywood 1930s hoping work film industry fall love find swept vibrant society defined spirit age
608,608,458253,Missing Link,Adventure|Animation|Children|Comedy|Fantasy,charismatic sir lionel frost considers world foremost investigator myth monster trouble none peer seems recognize hoping finally gain acceptance fellow adventurer sir lionel travel pacific northwest prove existence legendary creature known missing link
619,619,402900,Ocean's Eight,Action|Comedy|Crime|Thriller,debbie ocean criminal mastermind gather crew female thief pull heist century new york annual met gala
621,621,209263,Enough Said,Comedy|Drama|Romance,eva divorced wondering next act meet marianne embodiment perfect self armed restored outlook single eva decides take chance new love interest albert sweet funny man thing get complicated eva discovers albert fact dreaded marianne
622,622,246403,Tusk,Comedy|Drama|Horror,best friend podcast go missing backwoods canada young guy join force friend girlfriend search
625,625,496243,Parasite,Comedy|Drama,unemployed family take peculiar interest wealthy glamorous park livelihood get entangled unexpected incident
643,643,391713,Lady Bird,Comedy,lady bird mcpherson strong willed deeply opinionated artistic 17 year old come age sacramento relationship mother upbringing questioned tested plan head college
646,646,181533,Night at the Museum: Secret of the Tomb,Adventure|Children|Comedy|Fantasy,magic power tablet ahkmenrah begin die larry daley span globe uniting favorite new character embarking epic quest save magic gone forever
654,654,301348,Elvis & Nixon,Comedy,1970 day christmas elvis presley showed white house lawn seeking deputized bureau narcotic dangerous drug president
661,661,188161,A Million Ways to Die in the West,Comedy|Western,cowardly farmer begin fall mysterious new woman town must put courage test husband notorious announces arrival
674,674,416477,The Big Sick,Comedy|Romance,comedian kumail nanjiani grad student emily gardner fall love struggle culture clash emily contract mysterious illness kumail find forced face feisty parent family expectation true feeling
679,679,156700,The Kings of Summer,Comedy,joe toy verge adolescence find increasingly frustrated single father frank attempt manage life declaring freedom escape clearing wood best friend patrick strange kid named biaggio announces going build house free responsibility parent makeshift abode finished three young men find master destiny alone wood
703,703,83382,Players,Comedy,learning fortune gold secretly shipped romania master thief charlie riya assemble crack team steal
711,711,400579,Tully,Comedy,marlo mother three including newborn gifted night nanny brother hesitant first quickly form bond thoughtful surprising sometimes challenging nanny named tully
725,725,136403,Populaire,Comedy,rose pamphyle life widowed father destined marry son local mechanic travel town applies secretarial job insurance agency run louis learns rose type extraordinary speed using two finger tell compete competition want job
730,730,419709,Last Flag Flying,Comedy|Drama,thirty year serving together vietnam war larry sal richard reunite different type mission bury doc son young marine killed iraq forgoing burial trio take casket bittersweet trip coast new hampshire along way reminiscing coming term shared memory war continues shape life
743,743,463116,The Stolen Princess,Adventure|Animation|Comedy,wonderful story happened age valiant knight beautiful princess battling sorcerer ruslan wandering artist dreaming become knight met beautiful mila fell love even suspect king daughter however lover happiness meant last long chernomor evil sorcerer appeared magic vortex stole mila right ruslan eye transform power love magic power without ado ruslan set chase stolen princess overcome obstacle prove real love stronger magic
745,745,363088,Ant-Man and the Wasp,Action|Adventure|Comedy|Fantasy|Sci-Fi,time house arrest end scott lang put freedom risk help hope van dyne hank pym dive quantum realm try accomplish time chance success dangerous rescue mission
746,746,424781,Sorry to Bother You,Comedy|Fantasy|Sci-Fi,alternate version oakland black telemarketer cassius green discovers magical key professional success propels macabre universe
748,748,324852,Despicable Me 3,Adventure|Animation|Children|Comedy,gru wife lucy must stop former child star balthazar bratt achieving world domination
749,749,348678,A Man Called Ove,Comedy|Drama,despite deposed president condominium association grumpy ove continues watch neighbourhood iron fist pregnant parvaneh family move terraced house opposite ove accidentally back ove mailbox set series unexpected change life
751,751,315049,Adult Camp,Comedy,adult camp comedy bumpy road personal growth group men woman stranger choose spend different kind summer holiday week traveling beautiful turku archipelago participate inviting upgraded version adult camp discover galloping horse camp sale video symbol free mind guru camp take witness dog labour participant forced examine find necessary element growth perhaps camp fulfill promise wonderful week life one thing sure one return home
760,760,433310,When We First Met,Comedy,noah spends perfect first night girl dream avery get relegated friend zone spends next three year wondering went wrong get unexpected chance travel back time alter night fate
761,761,346648,Paddington 2,Adventure|Animation|Children|Comedy,paddington happily settled brown pick series odd job buy perfect present aunt lucy stolen
763,763,417870,Girls Trip,Comedy,four girlfriend take trip new orleans annual festival along way rediscover wild side strengthen bond sisterhood
785,785,449674,Louis C.K. 2017,Comedy,louis mus religion eternal love giving dog drug email fight teacher live performance washington
795,795,271718,Trainwreck,Comedy|Romance,thought monogamy never possible career woman may face fear meet good guy
796,796,376659,Bad Moms,Comedy,three overworked mom pushed beyond limit ditch conventional responsibility jolt long overdue freedom fun comedic
836,836,321594,Louis C.K.: Live at The Comedy Store,Comedy,material developed prepared last year mostly comedy club special kind go back used make noise funny particular reason felt right shoot special club give live immediate intimate feeling show hour long opening act seen beginning good place opening act jay london one favorite club comic going way back late 80 first started working new york
851,851,335797,Sing,Animation|Children|Comedy,koala named buster recruit best friend help drum business theater hosting singing competition
862,862,291805,Now You See Me 2,Action|Comedy|Thriller,one year outwitting fbi winning public adulation spectacle four horseman resurface find face face new enemy enlists pull dangerous heist yet
878,878,260001,Life Partners,Comedy|Romance,lawyer lesbian best friend experience dramatic shift longtime bond one enters serious relationship
892,892,474335,Uncle Drew,Comedy,uncle drew recruit squad older basketball player return court compete tournament
907,907,179144,The Great Beauty,Comedy|Drama,jep gambardella seduced way lavish nightlife rome decade 65th birthday shock past jep look past nightclub party find timeless landscape absurd exquisite beauty
919,919,362155,"Me, Myself and Her",Comedy|Romance,two woman restaurateur architect seemingly idyllic romantic relationship latter encounter man fling
928,928,293299,Feast,Animation|Children|Comedy|Drama|Romance,animated short film tell story one man love life seen eye best friend dog winston revealed bite bite meal share
946,946,227159,Horrible Bosses 2,Comedy|Crime,dale kurt nick decide start business thing go planned slick investor prompting trio pull harebrained misguided kidnapping scheme
948,948,333385,Mr. Right,Action|Comedy|Romance,girl fall perfect guy happens fatal flaw hitman run crime cartel employ
953,953,432959,Jim Gaffigan: Cinco,Comedy,america king clean comedy delivers wickedly funny joke fifth special
955,955,187596,Walk of Shame,Comedy,reporter dream becoming news anchor compromised stand leaf stranded downtown without phone car id money 8 hour make important job interview life
986,986,313867,Roald Dahl's Esio Trot,Comedy,hoppy shy old man life alone apartment building many year secretly love silver woman life hoppy frequently lean balcony exchange polite conversation silver shy disclose feel hoppy longs express feeling silver never bring lip form word silver small pet tortoise alfie love much one morning silver mention hoppy even though alfie many year pet grown tiny bit gained 3 ounce weight confesses wish knew way make little alfie grown larger dignified tortoise hoppy suddenly think way give silver wish win affection
991,991,311615,Smosh: The Movie,Action|Adventure|Comedy,embarrassing video anthony surface online right fifth high school reunion smosh dude race pull clip blow anthony chance reconnecting teen crush anna
1000,1000,254470,Pitch Perfect 2,Comedy,bellas back better ever humiliated front none president united state america bellas taken order clear name regain status bellas take seemingly impossible task winning international competition american team ever order accomplish monumental task need strengthen bond friendship sisterhood blow away competition amazing new friend old rival tagging along trip bellas hopefully accomplish dream
1003,1003,296100,The Night Before,Comedy,new york city annual tradition christmas eve debauchery three lifelong best friend set find holy grail christmas party since yearly reunion might coming end
1006,1006,288036,Sleeping with Other People,Comedy|Drama|Romance,two serial cheater get second chance love stand college new yorkers lainey jake meet chance twelve year later discover problem way neither maintain relationship determined stay friend despite mutual attraction make pact keep platonic deal prof easier said done
1010,1010,437557,Blockers,Comedy,three parent discover daughter pact lose virginity prom launch covert operation stop teen sealing deal
1024,1024,289727,The Rewrite,Comedy|Romance,writer slump leaf hollywood teach screenwriting college east coast fall single mom taking class
1045,1045,227973,The Peanuts Movie,Adventure|Animation|Children|Comedy,snoopy embarks upon greatest mission team take sky pursue best pal charlie brown begin epic quest
1048,1048,175291,Cheap Thrills,Comedy|Thriller,recently fired facing eviction new dad life turned upside meet wealthy couple offer path financial security price
1059,1059,309245,Mistress America,Comedy,tracy lonely college freshman new york rescued solitude stepsister brooke adventurous gal town entangles alluringly mad scheme
1073,1073,209403,Bad Words,Comedy,misanthrope guy trilby jason bateman enters national golden quill spelling bee loophole rule
1088,1088,419680,Daddy's Home 2,Comedy|Drama,brad dusty must deal intrusive father holiday
1091,1091,253065,Miss Granny,Comedy|Fantasy,unappreciated old granny magically turn 20 year old decides make newfound youth
1092,1092,296288,Tamo Junto,Comedy,guy end relationship best friend school start looking girl nerd best friend think movie
1107,1107,174348,Farah Goes Bang,Comedy,farah hit road buddy stump john kerry 2004 presidential election hoping trip opportunity finally shed unwanted virginity soon find effort political sexual front continuously thwarted
1140,1140,79723,New Kids Nitro,Action|Comedy,gerrie richard rikkert robbie barry maaskantje big fight village schijndel zombie kill someone brabant thing get hand
1150,1150,449176,"Love, Simon",Comedy|Drama,everyone deserves great love story simon spier little complicated told family friend gay know identity anonymous classmate fallen online
1155,1155,320006,Taxi,Comedy|Drama,yellow cab driving vibrant colourful street tehran diverse passenger enter taxi candidly expressing view interviewed driver one else director jafar panahi camera placed dashboard mobile film studio capture spirit iranian society comedic dramatic
1164,1164,195589,Neighbors,Comedy,couple newborn baby face unexpected difficulty forced live next fraternity house
1184,1184,444513,Amy Schumer: The Leather Special,Comedy,comic sensation amy schumer riff sex dating absurdity fame bold uncensored set denver bellco theater
1216,1216,537996,The Ballad of Buster Scruggs,Comedy|Drama|Western,vignette weaving together story six individual old west end civil war following tale songster wannabe bank robber two weary traveling performer lone gold prospector woman traveling west uncertain future motley crew stranger undertaking carriage ride
1223,1223,302688,My Big Fat Greek Wedding 2,Comedy,continuing adventure portokalos family 2002 comedy big fat greek wedding
1224,1224,109418,Grown Ups 2,Comedy,lenny relocated family back small town friend grew time around grown ups one learning lesson kid day notoriously full last day school
1241,1241,500664,Upgrade,Action|Comedy|Horror|Sci-Fi|Thriller,brutal mugging leaf grey trace paralyzed hospital beloved wife dead billionaire inventor soon offer trace cure artificial intelligence implant called stem enhance body able walk grey find also superhuman strength agility skill us seek revenge thug destroyed life
1245,1245,487297,What Men Want,Comedy|Fantasy|Romance,magically able hear men thinking sport agent us newfound ability turn table overbearing male colleague
1273,1273,113148,Prince Avalanche,Comedy|Drama,two highway road worker spend summer 1988 away city life isolated landscape becomes place misadventure men find odds woman left behind
1275,1275,308084,Tangerine,Comedy|Drama,christmas eve tinseltown back block upon hearing pimp boyfriend faithful 28 day locked working girl best friend alexandra embark mission get bottom scandalous rumor odyssey lead various subculture los angeles including armenian family dealing repercussion infidelity
1277,1277,455980,Tag,Comedy,one month every year five highly competitive friend hit ground running game tag playing since first grade year game coincides wedding undefeated player finally make easy target know coming ready
1284,1284,396398,The Meyerowitz Stories,Comedy,estranged family gather together new york event celebrating artistic work father
1312,1312,284296,Top Five,Comedy,comedian try make serious actor star talk broadcasting wedding tv show
1313,1313,458423,Mamma Mia! Here We Go Again,Comedy|Romance,five year meeting three father sophie sheridan prepares open mother hotel 1979 young donna sheridan meet men could sophie biological father
1323,1323,286554,Two Night Stand,Comedy|Romance,extremely regrettable one night stand two stranger wake find snowed sleeping blizzard put manhattan ice trapped together tiny apartment forced get know way one night stand
1343,1343,185744,Amy Schumer: Mostly Sex Stuff,Comedy,rating hit amy schumer debut special front live audience historic fillmore theatre san francisco nothing limit schumer air every hilarious messed detail dating sex life encounter unexpected body part personal grooming appointment raunchy style odds cabbage patch kid appearance schumer tell story boyfriend make dirty request dinner way outsmarts birth control shocking ending seemingly innocent cab ride
1345,1345,403431,Brigsby Bear,Comedy,brigsby bear adventure child tv show produced audience one james show abruptly end james life change forever set finish story
1350,1350,256961,Paul Blart: Mall Cop 2,Action|Comedy|Crime,security guard paul blart headed la vega attend security guard expo teenage daughter maya departs college convention inadvertently discovers heist blart apprehend criminal
1354,1354,394741,Stan & Ollie,Comedy|Drama,golden era long behind comedy duo stan laurel oliver hardy embark variety hall tour britain ireland despite pressure hectic schedule support wife lucille ida formidable double act right pair love performing well endures secure place heart adoring public
1360,1360,458344,"Juliet, Naked",Comedy|Drama,annie stuck relationship duncan obsessive fan obscure rocker tucker crowe acoustic demo tucker hit record 25 year ago surface discovery lead encounter elusive rocker
1364,1364,540901,Hustlers,Comedy|Crime|Drama,crew savvy former strip club employee band together turn table wall street client
1368,1368,254472,Stung,Comedy|Horror,fancy garden party turn upper class prey colony killer wasp mutates seven foot tall predator
1369,1369,367735,John Mulaney: The Comeback Kid,Comedy,armed boyish charm sharp wit former snl writer offer sly take marriage beef baby time met bill clinton
1396,1396,463272,Johnny English Strikes Again,Action|Adventure|Children|Comedy,disaster strike criminal mastermind reveals identity active undercover agent britain secret service rely one man johnny english currently teaching minor prep school johnny spring back action find mysterious hacker mission succeed need skill man yesterday analogue method face tomorrow digital technology
